width  8
height  11
(3, -0.49, 10)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 0)	(0, 0, 0)	Untagged	1	1	null
(4, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 4)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 6)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 9)	(0, 0, 0)	Untagged	0	1	null
(4, -0.49, 10)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 0)	(0, 0, 0)	Untagged	2	0	null
(5, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 4)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 6)	(0, 0, 0)	Untagged	0	1	5_6_item	6	3	
(5, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 9)	(0, 0, 0)	Untagged	0	1	null
(5, -0.49, 10)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 0)	(0, 0, 0)	Untagged	2	0	null
(6, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 4)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 6)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(6, -0.49, 9)	(0, 0, 0)	Zone Member	0	0	null
(6, -0.49, 10)	(0, 0, 0)	Zone Member	0	0	null
(7, -0.49, 0)	(0, 0, 0)	Untagged	2	0	null
(7, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 4)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 6)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(7, -0.49, 9)	(0, 0, 0)	Zone Member	0	0	null
(7, -0.49, 10)	(0, 0, 0)	Untagged	0	1	null
count  1
8	3	7_9	6_9	6_10	
